idjunc,typejunc,xjunc,yjunc,incLanes,intLanes
1114114111,right_before_left,1108.02,409.14,"['-96152204#0_0', '96152229#5_0', '-96152229#6_0']","[':1114114111_0_0', ':1114114111_1_0', ':1114114111_2_0', ':1114114111_3_0', ':1114114111_4_0', ':1114114111_5_0', ':1114114111_6_0', ':1114114111_7_0', ':1114114111_8_0']"
1114114123,right_before_left,1350.16,362.87,"['-96152216#2_0', '96152216#1_0', '-96152205#0_0']","[':1114114123_0_0', ':1114114123_1_0', ':1114114123_2_0', ':1114114123_3_0', ':1114114123_4_0', ':1114114123_5_0', ':1114114123_6_0', ':1114114123_7_0', ':1114114123_8_0']"
1114114133,priority,1067.67,466.22,['96152220_0'],[':1114114133_0_0']
1114114169,right_before_left,1263.52,487.51,"['96152206#0_0', '-96152206#1_0', '96152233_0']","[':1114114169_0_0', ':1114114169_1_0', ':1114114169_2_0', ':1114114169_3_0', ':1114114169_4_0', ':1114114169_5_0', ':1114114169_6_0', ':1114114169_7_0', ':1114114169_8_0']"
1124345060,priority,2085.59,222.44,['97050352_0'],[':1124345060_0_0']
1124345194,dead_end,1187.43,150.15,[],[]
1124345232,priority,2129.39,270.13,"['410000812_0', '-118793670#0_0', '-97050352_0', '-26824662#0_0']","[':1124345232_0_0', ':1124345232_1_0', ':1124345232_2_0', ':1124345232_3_0', ':1124345232_4_0', ':1124345232_5_0', ':1124345232_16_0', ':1124345232_17_0', ':1124345232_8_0', ':1124345232_9_0', ':1124345232_10_0', ':1124345232_11_0', ':1124345232_12_0', ':1124345232_13_0', ':1124345232_18_0', ':1124345232_19_0']"
1333962963,right_before_left,1540.38,246.43,"['26824640#2_0', '119859563#0_0', '579034566_0']","[':1333962963_0_0', ':1333962963_1_0', ':1333962963_2_0', ':1333962963_3_0', ':1333962963_4_0', ':1333962963_5_0']"
1333962966,priority,1490.87,239.84,['-118644742#0_0'],[':1333962966_0_0']
1333964433,right_before_left,1532.42,354.31,"['26824662#4_0', '118644742#2_0', '-26824662#5_0']","[':1333964433_0_0', ':1333964433_1_0', ':1333964433_2_0', ':1333964433_3_0', ':1333964433_4_0', ':1333964433_5_0', ':1333964433_6_0', ':1333964433_7_0', ':1333964433_8_0']"
1333964448,right_before_left,1505.76,279.43,"['-118644742#1_0', '118644742#0_0']","[':1333964448_0_0', ':1333964448_1_0', ':1333964448_2_0', ':1333964448_3_0', ':1333964448_4_0', ':1333964448_5_0']"
1334788407,dead_end,1714.27,245.63,['75488752#1_0'],[]
1334788413,priority,1613.56,268.34,['326551906#1_0'],[':1334788413_0_0']
1334788456,right_before_left,1657.54,256.04,"['442773134#1_0', '75488752#0_0']","[':1334788456_0_0', ':1334788456_1_0']"
1334788458,right_before_left,1650.69,234.89,"['326551906#0_0', '442773134#0_0']","[':1334788458_0_0', ':1334788458_1_0', ':1334788458_2_0', ':1334788458_3_0']"
1334788459,dead_end,1674.13,232.11,[],[]
1341496287,priority,2245.94,957.49,"['363082411#0_0', '119372733#1_0']","[':1341496287_0_0', ':1341496287_1_0', ':1341496287_2_0', ':1341496287_3_0']"
1341496301,priority,1404.35,402.38,['119372738_0'],[':1341496301_0_0']
1341496347,dead_end,1371.68,424.37,[],[]
1341496380,priority,1406.90,392.27,['143377532_0'],[':1341496380_0_0']
1341496396,right_before_left,1416.32,347.30,"['119372735#4_0', '119372737_0']","[':1341496396_0_0', ':1341496396_1_0']"
1341496530,right_before_left,1376.77,412.02,"['119372734#1_0', '119372732_0']","[':1341496530_0_0', ':1341496530_1_0']"
1341496531,dead_end,1412.02,349.09,[],[]
1341496534,priority,1367.17,399.73,['119372734#0_0'],"[':1341496534_0_0', ':1341496534_1_0']"
